,exclamation_count,words_to_avoid_count,smart_words_count,h1_count,h2_count, div_count,iframe_count,a_count,img_count,p_count,span_count,button_count,input_count,form_count,script_count,meta_count,link_count,style_count,text_longer_than_50_characters_count,text_longer_than_100_characters_count,text_longer_than_150_characters_count,text_longer_than_200_characters_count,http_references,https_references,total_code_length,ylt_DOMelementsCount,ylt_DOMelementMaxDepth,ylt_scriptDuration,ylt_jsErrors,ylt_cssColors,ylt_cssDuplicatedProperties,ylt_totalWeight,ylt_domains,ylt_compression,ylt_totalRequests,ylt_heavyFonts,ylt_global_score,ylt_badJavascript_score,ylt_jQuery_score,ylt_serverConfig_score,label
120,0.3481749687358485,0.6870576411278857,0.3516338869169593,0.38157141418444396,0.42338321295258924,0.49602751028552794,0.493242414866094,0.6444376283339401,0.4883727682649625,0.47213706748132067,0.509193229001247,0.48740467818040706,0.33333333333333337,0.271523178807947,0.48332076050128514,0.5774135415093857,0.2859924886998935,0.4998897686063621,0.47029800382690656,0.5017996856404842,0.5314211133987637,0.4721631957086834,0.6670867873201382,0.55101871295168,0.44729931960711006,0.5218150592629944,0.037037037037037056,0.5820717047638344,0.39280048793632477,0.48863240295941257,0.3897358342686835,0.321376754495529,0.7950412388802557,0.664624263251809,0.7076649942305923,0.0,0.5626024291341994,0.06995339013996855,1.0,0.266968616241784,1
121,0.31901891073295063,0.49545429384655737,0.47724060861956785,0.38157141418444396,0.46826669763193945,0.5625028120049564,0.493242414866094,0.6909554212996235,0.5413092871975623,0.48844692850509375,0.4943176898057838,0.48740467818040706,0.33333333333333337,0.26490066225165565,0.471527712846922,0.5720168375333904,0.25984142030594476,0.47522248874771705,0.4415538037998472,0.4585146900227596,0.477927312424337,0.4721631957086834,0.7119609545647337,0.5767987367860256,0.46595796678455037,0.5425609139494469,0.0,0.5596400741364382,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.28303633099844644,0.665253634310913,0.652173020817457,0.606793754085975,0.0,0.6834511042832512,0.1470121742112483,1.0,0.6274364997605955,1
122,0.25320547724761744,0.43281919227407034,0.3516338869169593,0.38157141418444396,0.4149132666831218,0.4883304929148866,0.5428835233189813,0.6574930648511008,0.49181212642898875,0.47312791418082967,0.509193229001247,0.48740467818040706,0.33333333333333337,0.26490066225165565,0.471527712846922,0.5720168375333904,0.25984142030594476,0.47765004324915294,0.45107891255516547,0.47498773959258506,0.5135169614102246,0.4721631957086834,0.6815931964647118,0.5579007481014252,0.412204878357923,0.5093995827393752,0.0,0.5700896056837503,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.2839767720084382,0.672813981928235,0.6524109448090502,0.6095708808967379,0.0,0.6934041204742686,0.1470121742112483,1.0,0.6382231395365708,1
123,0.3390081792216724,0.5453180111445977,0.40252031851823106,0.38157141418444396,0.4149132666831218,0.48654694710191665,0.493242414866094,0.6469258291860033,0.4883727682649625,0.47213706748132067,0.5055560103463161,0.48740467818040706,0.33333333333333337,0.27814569536423844,0.471527712846922,0.5720168375333904,0.25984142030594476,0.5001772268460258,0.479464539054052,0.49771152286644277,0.5371033321890113,0.4721631957086834,0.6705567420097673,0.565976065305181,0.42693879904883153,0.509688521872653,0.037037037037037056,0.565248451237374,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.2866264495285145,0.7701797477022707,0.6558470736860477,0.6697766015542744,0.0,0.6304077805495889,0.14317726988391005,1.0,0.3538689223894023,1
124,0.28325816747135235,0.4072984539210855,0.40252031851823106,0.38157141418444396,0.4149132666831218,0.4879748260061658,0.493242414866094,0.6518456062002739,0.49009848143248497,0.47362178501348484,0.5127792149591746,0.48740467818040706,0.33333333333333337,0.2582781456953642,0.471527712846922,0.5720168375333904,0.25984142030594476,0.45673240153330874,0.43047020986500517,0.44677399342514423,0.48925008437650824,0.4721631957086834,0.6756953082424342,0.5539981150693938,0.4044255635612559,0.5080468460681533,0.0,0.5495963907227729,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.2864935832654335,0.6614081516729308,0.6519799312730173,0.606793754085975,0.0,0.6884156208161968,0.11818336254635986,1.0,0.6328144977583032,1
125,0.2690709701611534,0.4445226338912645,0.4430309359830305,0.38157141418444396,0.4149132666831218,0.4796472156115543,0.493242414866094,0.6402474082357873,0.48488427226359637,0.4711420443686655,0.5018656889269113,0.48740467818040706,0.33333333333333337,0.26490066225165565,0.471527712846922,0.5720168375333904,0.25984142030594476,0.496491942145324,0.472119575029629,0.5098712096278608,0.5374473352712228,0.4721631957086834,0.6635803531177334,0.5470034796470385,0.3790806681746376,0.49705697981901065,0.0,0.524352180144149,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.28173396495859365,0.6614081516729308,0.6514488140114935,0.5954225661522118,0.0,0.7551578359323076,0.4789595756807906,1.0,0.6382231395365708,1
126,0.2690709701611534,0.49545429384655737,0.4430309359830305,0.38157141418444396,0.42338321295258924,0.5058222689012827,0.493242414866094,0.670818943583501,0.5115052240828486,0.47898767886876265,0.5299992933352178,0.48740467818040706,0.33333333333333337,0.26490066225165565,0.471527712846922,0.5720168375333904,0.25984142030594476,0.4860696031822052,0.4583240687009141,0.4709071249353889,0.5040115104583446,0.4721631957086834,0.6955070869455862,0.5744749375125822,0.44072043277493056,0.5143621991066503,0.0,0.5277786933886471,0.39280048793632477,0.4816906612367979,0.3897358342686835,0.2840742827637125,0.6575174254685685,0.65022092995384,0.5954225661522118,0.0,0.7657937065968039,0.8057993612825787,1.0,0.6546337981166843,1
127,0.3568829277518041,0.5297288854855575,0.3516338869169593,0.38157141418444396,0.4149132666831218,0.4763084956830495,0.493242414866094,0.6410898400077951,0.4759360179428643,0.4701428005537552,0.49812028300758915,0.48740467818040706,0.33333333333333337,0.2582781456953642,0.471527712846922,0.5720168375333904,0.25984142030594476,0.4860898831222814,0.4583240687009141,0.5040931347161445,0.520615080364928,0.4721631957086834,0.6644604341929947,0.5439059897978876,0.38789964181532727,0.5020669624379425,0.037037037037037056,0.5943601583582828,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.28864177190673523,0.7814248339678752,0.6545872848096176,0.6709195672552133,0.0,0.6257265538464503,0.14317726988391005,1.0,0.3219344031572379,1
128,0.38074370786674405,0.47637916160477184,0.4430309359830305,0.38157141418444396,0.42338321295258924,0.5328410471400521,0.493242414866094,0.6952740047980446,0.5283128113030465,0.4813874567958537,0.509193229001247,0.48740467818040706,0.33333333333333337,0.2847682119205298,0.471527712846922,0.5720168375333904,0.25984142030594476,0.47257685664007026,0.44786581468199016,0.45424383447216066,0.47520678901576896,0.4721631957086834,0.7195355757832121,0.5947847960845438,0.41970115000741515,0.5303086896661476,0.0,0.5450008880866765,0.39280048793632477,0.48449125126578235,0.3897358342686835,0.2933736819960101,0.665253634310913,0.6527946296161025,0.6039909716159644,0.0,0.7187083883147279,0.4789595756807906,1.0,0.6436625121515939,1
129,0.38074370786674405,0.37810239113357186,0.5071438223115085,0.38157141418444396,0.4149132666831218,0.4660004920064929,0.7113786608980126,0.5074943019132567,0.34451923038682153,0.1668877102501921,0.3400629718904595,0.27612271191669274,0.1666666666666667,0.39735099337748353,0.5863713930745543,0.31776291776509824,0.4721631957086835,0.43618243741300394,0.3742052127847157,0.4217174200026366,0.44002884571907014,0.0,0.4816808231856282,0.5257220285937229,0.31457119673751877,0.4323099035169659,0.0,0.4841956865800252,0.311765953881872,0.4967104310794821,0.2540329520093663,0.49073293772090143,0.6414739715848938,0.7761980637575193,0.646047500579763,0.7071067811865475,0.602667742215116,0.8057993612825787,1.0,0.6436625121515939,1
