ID,url,exclamation_count,words_to_avoid_count,smart_words_count,h1_count,h2_count, div_count,iframe_count,a_count,img_count,p_count,span_count,button_count,input_count,form_count,script_count,meta_count,link_count,style_count,text_longer_than_50_characters_count,text_longer_than_100_characters_count,text_longer_than_150_characters_count,text_longer_than_200_characters_count,http_references,https_references,total_code_length,ylt_DOMelementsCount,ylt_DOMelementMaxDepth,ylt_scriptDuration,ylt_jsErrors,ylt_cssColors,ylt_cssDuplicatedProperties,ylt_totalWeight,ylt_domains,ylt_compression,ylt_totalRequests,ylt_heavyFonts,ylt_global_score,ylt_badJavascript_score,ylt_jQuery_score,ylt_serverConfig_score
310,https://www.latimes.com/politics/story/2021-11-18/republican-kevin-faulconer-eyes-rematch-with-gavin-newsom,18,24,7,1,0,253,5,240,12,66,9,2,2,74,42,32,16,6199,4436,3537,2674,1,253,329941,81,1161,1,1094,0,84,25,1747233,65,166372,130,0,77,99,100,45
311,https://www.latimes.com/california/story/2021-11-17/huge-california-state-budget-surplus-will-test-legal-spending-limit-analysts-report,11,14,4,1,0,242,5,216,10,66,9,2,2,74,41,32,16,5465,3935,3935,3240,1,229,309177,52,1022,1,1042,0,84,25,1731387,60,165057,119,0,79,100,100,51
312,https://www.latimes.com/california/story/2021-11-21/orange-county-businessman-anti-covid-vaccine-venice,15,36,7,1,0,254,5,213,13,65,9,2,2,74,41,32,16,8349,6876,6002,4562,1,226,323202,68,1115,1,1086,0,84,25,1773425,64,167597,127,0,77,99,100,45
313,https://www.latimes.com/california/story/2021-11-16/remote-in-person-work-covid-safety-household-famiy,12,5,2,1,0,238,6,212,10,64,9,2,2,75,41,32,16,2032,712,712,547,1,225,301667,44,1142,1,1125,0,442,49,2257882,66,166020,135,137640,62,98,0,51
314,https://www.latimes.com/california/story/2021-11-16/stranded-by-the-pandemic-he-had-only-travel-insurance-it-left-him-with-a-38-000-bill,15,29,7,1,0,247,5,215,11,60,9,2,2,74,39,32,16,7606,6193,5867,5108,1,229,320920,71,1033,1,1171,0,84,25,1720861,60,166088,121,0,78,100,100,51
315,https://www.latimes.com/california/story/2021-11-18/california-community-college-students-choosing-jobs-over-class-likely-fuel-enrollment-drop,14,19,3,1,0,242,5,213,11,66,9,2,2,77,41,32,16,6570,5236,5015,4123,1,226,314257,57,1023,1,1036,0,84,25,1721996,61,165310,122,0,79,100,100,52
316,https://www.latimes.com/politics/story/2021-11-16/jackie-speier-to-retire-from-congress,9,25,7,1,0,258,5,232,13,71,9,2,2,74,42,32,16,7908,6157,4545,3847,1,244,330660,84,1114,1,1020,0,84,25,1669191,61,166316,123,0,79,100,100,51
317,https://www.latimes.com/california/story/2021-11-17/california-medical-board-member-calls-out-his-colleagues,20,52,9,1,0,279,5,233,17,66,9,2,2,77,42,32,16,17194,14765,12985,11173,1,246,363572,130,1242,1,1175,0,84,25,1726279,64,173668,128,0,76,99,100,45
318,https://www.latimes.com/california/story/2021-11-15/skelton-salt-cap-congress-california,28,26,6,1,0,252,5,220,12,66,9,2,2,74,41,32,16,7580,5766,4053,2992,1,233,323326,85,1076,1,1037,0,84,25,1752338,61,168466,121,0,78,99,100,51
319,https://www.latimes.com/politics/story/2021-11-11/california-congressional-redistricting-latino-roybal-allard,9,21,9,1,0,256,5,228,13,65,9,2,2,74,41,32,16,6521,4910,3939,2829,1,241,326697,74,1139,1,1044,0,84,25,1672994,60,164530,119,0,79,99,100,51
320,https://www.latimes.com/california/story/2021-11-17/as-garcetti-waits-senators-review-allegations-in-harassment-lawsuit-involving-key-aide,11,16,4,1,0,252,5,225,12,65,9,2,2,74,41,32,16,7129,5256,4822,4260,1,238,324867,70,1123,1,1089,0,84,25,1627649,59,165723,118,0,79,99,100,51
321,https://crooksandliars.com/2021/11/lofgren-many-jan-6th-committee-witnesses,19,13,2,0,5,495,20,156,52,49,2,3,2,98,43,31,21,5162,3363,3236,2560,55,75,256368,14,3356,0,6056,2,302,165,10392904,189,679200,653,147780,-78,42,100,-287
322,https://crooksandliars.com/2021/11/chuck-todd-lets-goper-claim-dems-have,22,12,2,0,5,492,20,146,52,49,2,3,2,98,42,31,21,4420,2386,2386,1883,55,69,254345,14,3279,0,5929,2,366,171,9962447,191,607246,628,147780,-64,57,100,-270
323,https://crooksandliars.com/2021/11/kevin-mccarthy-moans-about-dems-heckling,17,8,1,0,5,492,22,145,52,49,2,3,2,101,42,33,21,4173,2253,2146,1492,55,71,257673,13,3521,0,6846,2,367,173,10452982,198,674989,667,147780,-87,1,100,-304
324,https://americasfreedomfighters.com/muslim-texas/,162,12,8,3,2,195,20,114,37,79,2,36,4,117,42,65,16,8785,7553,6720,6226,3,152,168426,32,2163,27,2622,2,688,117,3532525,57,170432,270,25664,17,20,-200,13
325,https://americasfreedomfighters.com/hilarious-joke-about-nancy-pelosi-and-chuck-schumer-has-democrats-seething-8/,113,12,0,3,2,191,18,113,38,76,2,36,4,116,40,65,16,4625,3126,1422,619,3,151,166821,37,2146,0,2545,2,691,117,4182496,59,172521,268,25664,19,20,-200,16
326,https://americasfreedomfighters.com/chemical-weapons-attack/,159,13,3,4,2,192,22,118,38,82,2,36,4,117,41,65,16,5688,4243,2885,1712,3,156,170522,43,2082,0,2223,2,691,117,3593798,55,232691,256,25664,19,20,-200,25
327,https://americasfreedomfighters.com/crazy-terrorist-black/,310,16,2,3,2,192,21,117,37,79,2,36,4,118,42,65,16,6547,5010,3547,2531,3,155,171997,50,2172,0,2759,2,691,118,4233444,61,230047,291,25664,17,20,-200,9
328,https://americasfreedomfighters.com/watch-as-kid-spots-cop-eating-alone-in-diner-walks-up-and-gives-him-something-hell-never-forget-2/,111,12,0,3,2,194,21,116,36,77,2,36,4,118,40,65,16,4402,2791,2158,1163,6,150,169000,39,2220,0,3886,2,1039,145,6621525,73,229304,390,25664,-19,-43,-400,-22
329,https://americasfreedomfighters.com/steve-bannon-indicted/,109,9,8,3,2,197,16,113,37,79,2,36,4,116,41,65,16,6412,4713,3586,3092,3,151,166517,39,2178,0,3178,2,688,118,3527421,57,170603,280,25664,19,20,-200,11
330,https://americasfreedomfighters.com/riots-fires-and-bloodshed/,113,14,2,3,2,192,20,114,37,79,2,36,4,117,41,65,16,4993,3722,2883,1897,3,152,167107,29,2117,0,3036,2,688,116,3601903,57,178044,275,25664,18,20,-200,11
331,https://americasfreedomfighters.com/shooting-trump-supporters/,112,21,0,3,2,191,16,115,38,79,2,36,4,116,41,65,16,6274,4830,3860,3046,3,153,166092,36,2085,24,2627,2,688,117,4753775,58,238149,261,25664,17,20,-200,22
332,https://americasfreedomfighters.com/breaking-authorities-just-made-alarming-find-buried-by-where-muslims-bought-cellphones/,113,10,0,4,2,191,16,114,36,76,2,36,4,116,40,65,16,4884,3395,2762,2268,4,151,166625,27,2066,24,2485,2,688,115,3593377,57,172150,269,25664,18,20,-200,17
333,https://americasfreedomfighters.com/what-happens-next-is/,111,14,1,3,2,191,18,112,38,76,2,36,4,116,40,65,16,5492,3540,2211,1544,4,149,166672,42,2158,0,2229,2,691,118,3581677,55,172409,257,25664,20,20,-200,25
334,https://americasfreedomfighters.com/fda-makes/,153,22,2,3,8,192,20,124,37,80,2,36,4,117,41,65,16,9981,7314,4264,2584,4,159,175419,55,2233,24,2424,2,688,119,3506248,56,169485,263,25664,17,20,-200,20
335,https://americasfreedomfighters.com/man-has-to-say/,113,18,0,3,2,192,21,113,37,76,2,36,4,117,40,65,16,4921,3586,2988,2339,4,150,167098,28,2502,24,2662,2,755,127,4411248,63,240498,279,25664,11,20,-200,21
336,https://americasfreedomfighters.com/texas-they-got-son/,140,3,6,4,2,195,20,114,37,81,2,36,4,117,41,65,16,5406,4017,3033,2200,3,152,165704,27,2123,27,2408,2,688,119,3675811,57,237474,263,25664,17,20,-200,21
337,https://americasfreedomfighters.com/breaking-war-alert/,109,10,1,3,2,192,18,118,37,80,2,36,4,118,41,65,16,5502,4071,3343,2299,3,156,165536,34,2190,0,2620,2,688,118,4124108,62,283038,283,25664,17,20,-200,11
338,https://americasfreedomfighters.com/clinton-insider-exposes-obamas-biggest-secret-massive-cash-bribe-to-rig-the-election/,106,15,4,3,2,192,16,117,37,76,2,36,4,116,40,65,16,5746,3892,2793,1581,3,155,168050,42,2117,25,2280,2,688,117,3582519,57,171031,260,25664,18,20,-200,21
