id;url;exclamation_count;words_to_avoid_count;smart_words_count;h1_count;h2_count;div_count;iframe_count;a_count;img_count;span_count;button_count;input_count;form_count;script_count;meta_count;link_count;style_count;text_longer_than_50_characters_count;text_longer_than_100_characters_count;text_longer_than_150_characters_count;text_longer_than_200_characters_count;http_references;https_references;total_code_length;p_count;ylt_DOMelementsCount;ylt_DOMelementMaxDepth;ylt_scriptDuration;ylt_jsErrors;ylt_cssColors;ylt_cssDuplicatedProperties;ylt_totalWeight;ylt_domains;ylt_compression;ylt_totalRequests;ylt_heavyFonts;ylt_global_score;ylt_badJavascript_score;ylt_jQuery_score;ylt_serverConfig_score;binary_rating;categorical_rating
99;https://www.politico.eu/article/future-german-government-to-present-coalition-deal-this-afternoon/;13;5;5;1;6;187;6;241;10;70;11;12;2;49;33;25;2;7656;3972;3159;2134;0;174;223239;37;1038;17;699;0;199;2200;1497208;27;101021;76;25520;71;87;100;64;1;4
100;https://www.politico.eu/article/swedish-pm-magdalena-andersson-resigns-hours-after-taking-job/;15;4;1;1;6;179;6;227;10;74;11;12;2;48;33;24;2;5705;2163;1453;1164;0;159;213827;25;1004;17;678;0;199;2200;1544776;27;100831;78;25520;71;87;100;64;1;4
101;https://www.politico.eu/article/migrant-crisis-france-uk-calais-north-sea-channel-boris-johnson/;12;3;3;1;6;183;6;242;10;76;11;12;2;49;34;24;2;7516;3865;2772;1932;0;174;222343;35;1039;17;733;0;199;2200;1670786;28;101073;80;25520;69;87;100;60;1;4
102;https://www.politico.eu/article/austria-schallenberg-far-right-anti-vaxxers/;20;9;4;1;7;213;6;257;10;87;11;12;2;51;33;25;2;11984;8260;6814;3916;0;189;233986;47;1123;17;719;0;199;2200;1546504;28;100834;76;25520;71;87;100;64;1;4
103;https://www.politico.eu/article/ecb-union-seeks-bigger-pay-hike-in-face-of-inflation/;26;2;1;1;7;197;6;244;10;91;11;12;2;48;33;24;2;5982;2173;1715;1414;0;176;219579;25;1070;17;708;0;199;2200;1649731;27;101038;78;25520;71;87;100;64;1;4
104;https://www.politico.eu/article/flying-solo-technology-takes-aim-at-co-pilots/;22;12;12;1;7;216;6;246;10;89;11;12;2;52;33;25;2;12436;8566;7331;5813;0;178;232232;54;1128;17;754;0;199;2200;1564368;28;99982;78;25520;67;87;100;60;1;4
105;https://www.politico.eu/article/china-artificial-intelligence-ai-ban-social-scoring-united-nations-unesco-ethical-ai/;21;5;6;1;8;202;6;250;10;88;11;12;2;49;33;24;2;7474;3800;2996;2177;0;182;226428;31;1086;17;714;0;199;2200;1753128;28;103882;80;41488;69;87;100;64;1;4
106;https://www.politico.eu/article/motorcycles-european-comission-eu-germany-uk-zero-emission-engine/;17;14;9;1;7;217;6;265;10;91;11;12;2;51;33;25;2;11071;7157;5671;4790;0;197;236010;45;1137;17;708;0;199;2200;1497319;27;100348;76;25520;70;87;100;64;1;4
107;https://www.politico.eu/article/eu-dma-zalando-silicon-valley-european-tech-vestager/;21;13;6;1;7;209;6;262;10;88;11;12;2;50;33;25;2;10784;7107;6163;5362;0;195;235573;41;1118;17;690;0;199;2200;1724875;27;101043;75;25520;70;87;100;64;1;4
108;https://www.politico.eu/article/harvest-cap-eu-farm-reform/;22;15;10;1;7;219;6;263;10;90;11;12;2;51;33;25;2;11740;7628;6614;4850;0;195;238067;49;1141;17;733;0;199;2200;1799545;28;99982;88;35972;67;87;100;65;1;4
109;https://people.com/celebrity/star-tracks-wednesday-october-13-2021/;73;17;9;1;224;4003;3;1009;484;3023;356;11;2;69;36;40;5;36103;22576;11413;3530;6;876;2326459;216;13635;0;5544;2;164;135;21210098;103;354699;262;0;-122;59;100;-50;1;3
110;https://people.com/tv/howie-mandel-home-doing-better-after-fainting/;11;5;2;1;17;563;11;289;87;317;45;15;2;75;38;40;5;5888;3411;1547;214;6;261;536357;27;2281;0;2733;2;182;142;91771521;114;348187;326;0;-378;59;100;-67;1;3
111;https://people.com/food/rachael-ray-says-shes-grateful-for-being-alive-after-house-fire-and-apartment-flood/;11;21;2;1;17;562;7;290;87;317;45;15;2;71;38;40;5;7088;4426;1978;779;6;262;538385;29;2011;0;2132;2;164;136;45782799;69;280128;206;0;-144;84;100;30;1;3
112;https://people.com/tv/netflix-you-renewed-season-four/;32;11;0;1;17;512;9;290;79;316;47;12;2;63;36;40;4;6278;3068;1812;1124;6;261;453792;25;2469;0;2154;2;234;148;3639763;104;313503;255;0;23;83;100;-51;1;3
113;https://people.com/crime/larry-miller-chairman-of-jordan-brand-opens-up-about-killing-a-man-as-a-teenager/;7;14;0;1;16;499;3;281;78;310;44;11;2;67;36;40;4;6796;4477;2002;516;6;253;475686;28;2077;1;1705;2;140;134;2848081;97;240787;239;0;32;59;100;-39;1;3
114;https://people.com/tv/emma-kenney-claims-shameless-set-became-a-more-positive-place-after-emmy-rossum-exit/;14;12;1;1;17;549;9;293;87;319;47;13;2;68;37;40;5;7438;4711;2771;1614;7;264;512566;30;2118;0;2148;2;169;135;53620225;103;286484;256;0;-193;71;100;-48;1;3
115;https://people.com/parents/matt-damon-says-he-knew-every-word-at-harry-styles-concert-with-daughters/;13;6;0;1;17;531;9;291;82;312;45;13;2;67;37;40;5;6552;4221;1561;286;6;263;500774;27;2093;0;2589;2;166;135;19432841;71;283323;219;0;-51;-74;100;24;1;3
116;https://people.com/home/the-dark-history-behind-brittany-murphys-home-plus-what-happened-to-it-after-she-died-there/;25;10;8;1;17;621;7;301;101;316;52;15;2;69;38;40;5;9254;6772;4591;2634;6;273;539277;38;2284;0;2542;2;169;136;69569257;77;286346;234;0;-262;59;100;5;1;3
117;https://people.com/tv/rhobh-reunion-erika-girardi-says-show-is-her-main-source-of-income/;25;6;1;1;17;540;9;293;84;318;46;13;2;70;37;40;5;6426;3746;1810;729;6;265;531682;29;2077;0;2021;2;169;135;33871968;69;283371;194;0;-91;71;100;33;1;3
118;https://people.com/tv/howie-mandel-rushed-to-hospital-after-fainting-report/;13;5;1;1;17;541;7;288;84;317;46;13;2;67;37;40;5;5886;2852;1290;0;6;260;502424;28;2163;0;2168;2;201;444;40536303;75;294263;224;0;-127;71;100;23;1;3
119;https://people.com/country/clint-black-lisa-hartman-black-celebrate-30-year-wedding-anniversary/;13;17;5;1;17;571;9;298;95;325;47;11;2;66;36;40;4;10282;7567;4876;3535;6;267;504233;42;2982;0;2941;2;234;144;4912892;104;241792;287;0;5;-20;100;-48;1;3
